Trial_1,Trial_2,Trial_3,Trial_4,Trial_5,Trial_6,Trial_7,Trial_8,Trial_9,Trial_10,Trial_11,Trial_12,Trial_13,Trial_14,Trial_15,Trial_16,Trial_17,Trial_18,Trial_19,Trial_20,Trial_21,Trial_22,Trial_23,Trial_24,Trial_25,Trial_26,Trial_27,Trial_28,Trial_29,Trial_30,Trial_31,Trial_32,Trial_33,Trial_34,Trial_35,Trial_36,Trial_37,Trial_38,Trial_39,Trial_40,Trial_41,Trial_42,Trial_43,Trial_44,Trial_45,Trial_46,Trial_47,Trial_48,Trial_49,Trial_50,Trial_51,Trial_52,Trial_53,Trial_54,Trial_55,Trial_56,Trial_57,Trial_58,Trial_59,Trial_60,Trial_61,Trial_62,Trial_63,Trial_64,Trial_65,Trial_66,Trial_67,Trial_68,Trial_69,Trial_70,Trial_71,Trial_72,Trial_73,Trial_74,Trial_75,Trial_76,Trial_77,Trial_78,Trial_79,Trial_80,Trial_81,Trial_82,Trial_83,Trial_84,Trial_85,Trial_86,Trial_87,Trial_88,Trial_89,Trial_90,Trial_91,Trial_92,Trial_93,Trial_94,Trial_95,Trial_96,Trial_97,Trial_98,Trial_99,Trial_100
 ,6.1, , , , , , , , , , , , , ,9.16, , , , ,4.06, ,4.04, , , , ,6.11, , ,1.79,4.1, , , , , , , , , ,1.8, , , , , ,2.7, , , , ,6.14, , , , , , ,2.74, , , , , , , , ,2.71, , , , , , , , ,2.7, , ,6.1,1.2, , , , , ,4.04, ,1.2, ,1.81, , ,9.19, ,1.21, , , 
 ,4.88, , , , , , , , , , , , , ,10.99, , , , ,4.87, ,4.85, , , , ,7.33, , ,2.15,3.28, , , , , , , , , ,2.16, , , , , ,2.16, , , , ,7.37, , , , , , ,2.19, , , , , , , , ,3.25, , , , , , , , ,2.16, , ,7.32,1.44, , , , , ,4.85, ,0.96, ,1.45, , ,11.03, ,1.45, , , 
 ,5.86, , , , , , , , , , , , , , , , , , ,5.84, ,3.88, , , , ,8.8, , ,2.58,3.94, , , , , , , , , ,1.73, , , , , ,2.59, , , , ,5.9, , , , , , ,2.63, , , , , , , , ,3.9, , , , , , , , ,2.59, , ,5.86,1.73, , , , , ,5.82, , , ,1.74, , , , ,1.74, , , 
 ,7.03, , , , , , , , , , , , , , , , , , ,7.01, ,3.1, , , , ,7.04, , ,3.1,3.15, , , , , , , , , ,1.38, , , , , ,2.07, , , , ,7.08, , , , , , ,3.16, , , , , , , , ,4.68, , , , , , , , ,2.07, , ,4.69,2.08, , , , , ,6.98, , , ,2.09, , , , ,2.09, , , 
 ,5.62, , , , , , , , , , , , , , , , , , ,5.61, ,3.72, , , , ,8.45, , ,3.72,2.52, , , , , , , , , ,1.66, , , , , ,2.48, , , , ,8.5, , , , , , ,3.79, , , , , , , , ,5.62, , , , , , , , ,1.66, , ,5.63,2.5, , , , , ,8.38, , , ,1.67, , , , ,2.51, , , 
 ,4.5, , , , , , , , , , , , , , , , , , ,4.49, ,4.46, , , , ,6.76, , ,4.46,2.02, , , , , , , , , ,1.33, , , , , ,1.98, , , , ,10.2, , , , , , ,3.03, , , , , , , , ,6.74, , , , , , , , ,1.33, , ,4.5,2.0, , , , , ,6.7, , , ,1.34, , , , ,2.01, , , 
 ,5.4, , , , , , , , , , , , , , , , , , ,3.59, ,3.57, , , , ,8.11, , ,3.57,2.42, , , , , , , , , ,1.6, , , , , ,2.38, , , , , , , , , , , ,3.64, , , , , , , , ,8.09, , , , , , , , ,1.06, , ,5.4,2.4, , , , , ,8.04, , , ,1.61, , , , ,1.61, , , 
 ,4.32, , , , , , , , , , , , , , , , , , ,4.31, ,4.28, , , , ,9.73, , ,2.86,1.94, , , , , , , , , ,1.92, , , , , ,2.86, , , , , , , , , , , ,4.37, , , , , , , , ,6.47, , , , , , , , ,1.27, , ,4.32,2.88, , , , , ,6.43, , , ,1.93, , , , ,1.93, , , 
 ,3.46, , , , , , , , , , , , , , , , , , ,3.45, ,3.42, , , , ,11.68, , ,3.43,2.33, , , , , , , , , ,2.3, , , , , ,2.29, , , , , , , , , , , ,5.24, , , , , , , , ,7.76, , , , , , , , ,1.52, , ,5.18,3.46, , , , , ,7.72, , , ,1.54, , , , ,2.32, , , 
 ,2.77, , , , , , , , , , , , , , , , , , ,2.76, ,2.74, , , , , , , ,2.74,1.86, , , , , , , , , ,2.76, , , , , ,2.75, , , , , , , , , , , ,6.29, , , , , , , , ,6.21, , , , , , , , ,1.82, , ,4.14,2.77, , , , , ,9.26, , , ,1.85, , , , ,2.78, , , 
